"","Year","ZIP.code","age","Number.of.Visits","Age.adjusted.rate","County.Fips.code","County"
"11910",2009,91030,"adult",30,14.69999695,6037,"los angeles"
"11911",2009,94134,"adult",163,48.5,6075,"san francisco"
"11912",2013,91406,"child",138,98.3,6037,"los angeles"
"11913",2009,90211,"adult",13,15.5,6037,"los angeles"
"11914",2014,95324,"child",13,72.5,6047,"merced"
"11915",2009,91016,"adult",121,39,6037,"los angeles"
"11916",2014,94517,"adult",24,28.9,6013,"contra costa"
"11917",2009,91010,"adult",72,36.19998169,6037,"los angeles"
"11918",2016,94546,"child",74,80.1,6001,"alameda"
"11919",2015,95340,"child",185,205.3,6047,"merced"
"11920",2014,92335,"adult",316,50.2,6071,"san bernardino"
"11921",2009,91401,"adult",102,32.3999939,6037,"los angeles"
"11922",2009,90606,"adult",116,50.3999939,6037,"los angeles"
"11923",2009,90815,"adult",91,29.09999085,6037,"los angeles"
"11924",2013,91384,"child",12,18.7,6037,"los angeles"
"11925",2009,90713,"adult",65,33.19998169,6037,"los angeles"
"11926",2015,94579,"adult",88,48.2,6001,"alameda"
"11927",2009,90640,"adult",214,45.19998169,6037,"los angeles"
"11928",2013,95677,"child",31,58.9,6061,"placer"
"11929",2012,91304,"adult",100,25.5,6037,"los angeles"
"11930",2013,90037,"adult",297,71.4,6037,"los angeles"
"11931",2016,91007,"adult",24,9,6037,"los angeles"
"11932",2009,90807,"adult",69,29.79998779,6037,"los angeles"
"11933",2013,94571,"adult",31,56.5,6095,"solano"
"11934",2009,92234,"adult",138,35.79998779,6065,"riverside"
"11935",2009,90002,"adult",204,75.09997559,6037,"los angeles"
"11936",2015,95045,"adult",13,34.2,6069,"san benito"
"11937",2009,90806,"adult",187,65.5,6037,"los angeles"
"11938",2016,91402,"child",243,117,6037,"los angeles"
"11939",2009,93004,"adult",67,31.59999085,6111,"ventura"
"11940",2015,95826,"child",58,80.8,6067,"sacramento"
"11941",2015,92107,"child",15,38.6,6073,"san diego"
"11942",2009,95695,"adult",135,47.69998169,6113,"yolo"
"11943",2016,92869,"child",46,54.1,6059,"orange"
"11944",2009,92262,"adult",130,63.79998779,6065,"riverside"
"11945",2012,94070,"adult",58,26.59999085,6081,"san mateo"
"11946",2015,90031,"adult",106,36.5,6037,"los angeles"
"11947",2013,95821,"adult",252,94.2,6067,"sacramento"
"11948",2013,93536,"child",115,67.4,6037,"los angeles"
"11949",2012,95832,"child",42,99.89996338,6067,"sacramento"
"11950",2009,90502,"adult",53,39,6037,"los angeles"
"11951",2012,92392,"adult",247,66.5,6071,"san bernardino"
"11952",2012,95422,"adult",123,105.7999878,6033,"lake"
"11953",2012,94619,"adult",101,54.09997559,6001,"alameda"
"11954",2013,91702,"adult",170,38,6037,"los angeles"
"11955",2009,93516,"adult",14,92.5,6029,"kern"
"11956",2013,90715,"child",51,106.1,6037,"los angeles"
"11957",2012,96019,"child",25,105.5999756,6089,"shasta"
"11958",2009,90745,"adult",171,39,6037,"los angeles"
"11959",2013,94590,"adult",408,150.7,6095,"solano"
"11960",2013,95386,"adult",28,44.9,6099,"stanislaus"
"11961",2014,95965,"child",52,99.5,6007,"butte"
"11962",2014,95255,"adult",14,63.7,6009,"calaveras"
"11963",2015,95688,"child",103,124.7,6095,"solano"
"11964",2012,92201,"child",158,82.79998779,6065,"riverside"
"11965",2013,95116,"adult",208,55.2,6085,"santa clara"
"11966",2016,94602,"child",60,93.3,6001,"alameda"
"11967",2012,93313,"adult",93,32.69998169,6029,"kern"
"11968",2013,92503,"adult",241,39.4,6065,"riverside"
"11969",2009,91302,"adult",23,13.5,6037,"los angeles"
"11970",2016,92028,"child",42,38.1,6073,"san diego"
"11971",2014,95687,"adult",226,44.5,6095,"solano"
"11972",2012,93277,"adult",147,40,6107,"tulare"
"11973",2015,93510,"adult",18,27.7,6037,"los angeles"
"11974",2012,95376,"adult",312,90.5,6077,"san joaquin"
"11975",2009,94080,"adult",262,52.69998169,6081,"san mateo"
"11976",2014,93614,"child",16,78.3,6039,"madera"
"11977",2014,92220,"child",81,113.8,6065,"riverside"
"11978",2009,93654,"adult",57,28.5,6019,"fresno"
"11979",2015,93257,"adult",227,44.7,6107,"tulare"
