Year,ZIP code,Age Group,Number of Visits,Age-adjusted rate,County Fips code,County
2009,90210,Adults (18+),24,11.5,6037,Los Angeles
2009,90210,All Ages,27,10.29999542,6037,Los Angeles
2009,90210,Children (0-17),,,6037,Los Angeles
2009,90211,Adults (18+),13,15.5,6037,Los Angeles
2009,90211,All Ages,20,22.19999695,6037,Los Angeles
2009,90211,Children (0-17),,,6037,Los Angeles
2009,90212,Adults (18+),15,19.19999695,6037,Los Angeles
2009,90212,All Ages,22,23.09999085,6037,Los Angeles
2009,90212,Children (0-17),,,6037,Los Angeles
2009,90220,Adults (18+),266,83.39996338,6037,Los Angeles
2009,90220,All Ages,533,100,6037,Los Angeles
2009,90220,Children (0-17),267,147.6999512,6037,Los Angeles
2009,90221,Adults (18+),235,79.09997559,6037,Los Angeles
2009,90221,All Ages,426,81.89996338,6037,Los Angeles
2009,90221,Children (0-17),191,89.89996338,6037,Los Angeles
2009,90222,Adults (18+),156,78.19995117,6037,Los Angeles
2009,90222,All Ages,288,86.69995117,6037,Los Angeles
2009,90222,Children (0-17),132,110.8999634,6037,Los Angeles
2009,90230,Adults (18+),87,33.79998779,6037,Los Angeles
2009,90230,All Ages,154,49.19998169,6037,Los Angeles
2009,90230,Children (0-17),67,93.59997559,6037,Los Angeles
2009,90232,Adults (18+),38,28,6037,Los Angeles
2009,90232,All Ages,50,29.69999695,6037,Los Angeles
2009,90232,Children (0-17),12,34.69998169,6037,Los Angeles
2009,90240,Adults (18+),60,32.8999939,6037,Los Angeles
2009,90240,All Ages,111,45.09997559,6037,Los Angeles
2009,90240,Children (0-17),51,80.19995117,6037,Los Angeles
2009,90241,Adults (18+),98,30.59999085,6037,Los Angeles
2009,90241,All Ages,192,43.29998779,6037,Los Angeles
2009,90241,Children (0-17),94,79.79998779,6037,Los Angeles
2009,90242,Adults (18+),145,46.59997559,6037,Los Angeles
2009,90242,All Ages,264,56.5,6037,Los Angeles
2009,90242,Children (0-17),119,84.89996338,6037,Los Angeles
2009,90245,Adults (18+),25,20.3999939,6037,Los Angeles
2009,90245,All Ages,32,20.29998779,6037,Los Angeles
2009,90245,Children (0-17),,,6037,Los Angeles
2009,90247,Adults (18+),177,48.79998779,6037,Los Angeles
2009,90247,All Ages,323,63.5,6037,Los Angeles
2009,90247,Children (0-17),146,105.6999512,6037,Los Angeles
2009,90248,Adults (18+),56,76.39996338,6037,Los Angeles
2009,90248,All Ages,78,78.39996338,6037,Los Angeles
2009,90248,Children (0-17),22,84.29998779,6037,Los Angeles
2009,90249,Adults (18+),113,53.8999939,6037,Los Angeles
2009,90249,All Ages,182,62.8999939,6037,Los Angeles
2009,90249,Children (0-17),69,88.5,6037,Los Angeles
2009,90250,Adults (18+),353,53.19998169,6037,Los Angeles
2009,90250,All Ages,631,62.3999939,6037,Los Angeles
2009,90250,Children (0-17),278,88.89996338,6037,Los Angeles
2009,90254,Adults (18+),,,6037,Los Angeles
2009,90254,All Ages,17,13.3999939,6037,Los Angeles
2009,90254,Children (0-17),,,6037,Los Angeles
2009,90255,Adults (18+),232,53,6037,Los Angeles
2009,90255,All Ages,436,57,6037,Los Angeles
2009,90255,Children (0-17),204,68.59997559,6037,Los Angeles
